Step2.tibble_sample_id,Step2.tibble_Hash,Step2.tibble_nReads
lcs422s511,a41445da40af99ae213ca46e8cbf3479,5973
lcs422s512,a41445da40af99ae213ca46e8cbf3479,12596
lcs422s513,a41445da40af99ae213ca46e8cbf3479,287
lcs422s531,a41445da40af99ae213ca46e8cbf3479,1141
lcs422s541,a41445da40af99ae213ca46e8cbf3479,1089
kbw422s131,2a710e68a60b375a53a1720d3fe6a9b7,493288
kbw422s311,2a710e68a60b375a53a1720d3fe6a9b7,46
lcs422s321,2a710e68a60b375a53a1720d3fe6a9b7,9054
kbw922pgs112,87cc59a0ebe55c361335be01f57d6f5f,2666
kbw922pns111,87cc59a0ebe55c361335be01f57d6f5f,5669
kbw922pns112,87cc59a0ebe55c361335be01f57d6f5f,5713
kbb922pnbs111,ced521aab8bcfb8d12c78e17e824b15e,1847
kbg422s121,ced521aab8bcfb8d12c78e17e824b15e,49332
kbg422s131,ced521aab8bcfb8d12c78e17e824b15e,3062
kbg422s511,ced521aab8bcfb8d12c78e17e824b15e,1828
kbg422s521,ced521aab8bcfb8d12c78e17e824b15e,13199
kbg422s531,ced521aab8bcfb8d12c78e17e824b15e,3132
kbg922s312,ced521aab8bcfb8d12c78e17e824b15e,199
kbh422s112,ced521aab8bcfb8d12c78e17e824b15e,74027
kbh422s121,ced521aab8bcfb8d12c78e17e824b15e,33390
kbh422s141,ced521aab8bcfb8d12c78e17e824b15e,1847
kbh422s511,ced521aab8bcfb8d12c78e17e824b15e,50489
kbh422s512,ced521aab8bcfb8d12c78e17e824b15e,4426
kbh922s312,ced521aab8bcfb8d12c78e17e824b15e,1698
kbh922s341,ced521aab8bcfb8d12c78e17e824b15e,3825
kbj422s131,ced521aab8bcfb8d12c78e17e824b15e,1376
kbj422s511,ced521aab8bcfb8d12c78e17e824b15e,1373
kbj422s513,ced521aab8bcfb8d12c78e17e824b15e,52
kbj422s521,ced521aab8bcfb8d12c78e17e824b15e,3900
kbj922s312,ced521aab8bcfb8d12c78e17e824b15e,121
kbj922s341,ced521aab8bcfb8d12c78e17e824b15e,321
kbj922s342,ced521aab8bcfb8d12c78e17e824b15e,1468
kbt422s121,ced521aab8bcfb8d12c78e17e824b15e,10256
kbt422s511,ced521aab8bcfb8d12c78e17e824b15e,49941
kbt922s341,ced521aab8bcfb8d12c78e17e824b15e,5836
kbw422s111,ced521aab8bcfb8d12c78e17e824b15e,759
kbw422s112,ced521aab8bcfb8d12c78e17e824b15e,12859
kbw422s141,ced521aab8bcfb8d12c78e17e824b15e,1551
kbw922pcs111,ced521aab8bcfb8d12c78e17e824b15e,4097
kbw922pms111,ced521aab8bcfb8d12c78e17e824b15e,1651
kbw922pms121,ced521aab8bcfb8d12c78e17e824b15e,10433
kbw922s341,ced521aab8bcfb8d12c78e17e824b15e,462
lcc422s113,ced521aab8bcfb8d12c78e17e824b15e,8740
lcm422s111,ced521aab8bcfb8d12c78e17e824b15e,319
lcm422s113,ced521aab8bcfb8d12c78e17e824b15e,83
lcm422s141,ced521aab8bcfb8d12c78e17e824b15e,861
lcm422s321,ced521aab8bcfb8d12c78e17e824b15e,1013
lcm422s331,ced521aab8bcfb8d12c78e17e824b15e,306
lcm422s341,ced521aab8bcfb8d12c78e17e824b15e,1265
lcm422s511,ced521aab8bcfb8d12c78e17e824b15e,481
lcm422s512,ced521aab8bcfb8d12c78e17e824b15e,2018
lcm422s513,ced521aab8bcfb8d12c78e17e824b15e,3368
lcm422s521,ced521aab8bcfb8d12c78e17e824b15e,178
lcm422s541,ced521aab8bcfb8d12c78e17e824b15e,757
lcm422s542,ced521aab8bcfb8d12c78e17e824b15e,145
lcs422s111,ced521aab8bcfb8d12c78e17e824b15e,600
lcs422s112,ced521aab8bcfb8d12c78e17e824b15e,820
lcs422s113,ced521aab8bcfb8d12c78e17e824b15e,3855
lcs422s141,ced521aab8bcfb8d12c78e17e824b15e,524
lcs422s312,ced521aab8bcfb8d12c78e17e824b15e,672
